train_loss,train_acc,val_loss,val_acc
812.5662978887558,26.646,1.7314884722987307,37.96
728.0752339363098,41.29,1.5176901847501345,46.39
691.1685301065445,47.864,1.3887014192870901,51.85
672.1208837032318,50.688,1.3121203546282612,53.75
658.4024515151978,52.794,1.278969766218451,56.11
650.6465513706207,53.852,1.254692255696164,57.88
642.4113571643829,55.402,1.2377728540686113,57.97
634.1322846412659,56.47,1.231272362455537,57.73
628.7690519094467,57.38,1.1947058544883244,59.77
623.7747770547867,58.094,1.1774973439264902,60.37
618.2609668970108,59.198,1.1410929613475558,61.18
614.1849522590637,59.524,1.1566452233097222,60.83
610.2667071819305,60.19,1.1204056694537778,62.54
603.8647840023041,61.302,1.1278443374211276,62.08
601.0979218482971,61.628,1.109853662267516,63.02
597.346517086029,62.382,1.1308522413048563,62.3
592.7788368463516,62.902,1.089341528053525,64.13
590.9375728368759,63.284,1.050126470342467,65.44
587.0378487110138,63.608,1.0801492997362643,64.08
585.2870427370071,64.05,1.068560978279838,65.24
580.1532381772995,64.942,1.0667217426662203,65.17
576.9281479120255,65.318,1.0321980594079705,66.4
575.5816442966461,65.546,1.0161169239237338,66.93
572.3814781904221,65.814,1.039941599097433,65.62
569.4394575357437,66.368,1.0149068108087853,67.13
566.9482100009918,66.84,1.0288181674631336,66.74
565.5988520383835,66.96,1.0101676198500622,67.55
563.1486649513245,67.412,0.9944924832899359,67.47
559.0628796815872,68.05,1.0175872015047678,66.64
558.2741972208023,68.33,0.9952320788480058,68.05
553.7204794883728,68.818,0.987266896646234,68.21
551.9359679222107,68.924,0.9870172354239451,68.39
551.4527232646942,68.792,0.9778949067562441,68.43
547.1239775419235,69.606,0.9820953660373446,68.32
545.522131562233,69.98,0.9530208488053913,69.09
543.8597191572189,70.096,0.9585835616799849,69.36
541.0149565935135,70.766,0.947460763816592,69.78
540.3505101203918,70.73,0.9762563448918017,68.74
537.5408698320389,71.002,0.9304585222956501,70.16
535.932359457016,71.368,0.9527784125714363,69.53
533.4516216516495,71.742,0.9374741142309164,69.79
530.7476398944855,72.254,0.932311288918121,70.14
530.0417082309723,72.126,0.9344225774837446,69.93
527.1876870393753,72.548,0.9294637720796126,70.85
524.9266932010651,72.892,0.9375839316392247,70.41
523.7805173397064,73.096,0.9373063505450382,70.01
521.370170712471,73.488,0.9208798657489728,70.46
519.060854434967,74.034,0.9351416592356525,69.85
518.3491644859314,73.982,0.9499344433410258,69.42
514.8829180002213,74.338,0.9120967003363597,71.07
